adr;uhaH aps;u
s;a mAtr;oH
asanot ;ahAni
tv;am r;AjA
tasT;uH ant;ar
s;a dev;An
;adriBiH m;adantaH
DanvAti ;aCa
ant;ar mah;at
samr;Ajam carSaZIn;Am
kav;iH ;atyaH
im;AH jaritr;e
s;u naH
pit;uH d;ame
agn;iH iSit;aH
sma cyAv;ayan
et;Am vizp;atnIm
v;qSZe citr;Aya
ca dev;Im
yajY;aM-yajYam aB;i
v;Atasya s;argaH
Ag;amat ;indra
mAd;ayasva s;a
;aCa jigAsi
m;anasA tv;otaH
asya p;AjaH
asm;at v;i
adrivaH satt;aH
suSwut;I r;odasI
havyav;Aham dev;AH
jAgqve s;ahasaH
Bara m;AkiH
azvinA r;ajAMsi
;ut zrayasva
tv;am ap;aH
amqtatv;Aya gAt;um
B;USan ;indra
n;ihitaH kav;iH
s;Anu asTAt
navyasi ;A
Gqt;avat B;arantI
s;ADanam v;iprAsaH
mimAya k;ayA
nqZ;Am m;A
maG;Ani pr;a
m;anasA agn;im
pUrvay;AvA ;indraH
agn;iH aj;araH
saj;oSAH ;ixA
ucy;ate urUc;I
im;A havy;A
s;a havyav;Aw
any;Am ;api
te rucayanta
pAr;am AsAm
naH pAhi
s;omam ;indra
;aditiH suputr;A
maKasy;an ;aTa
DiSva ;aTa
mAtar;izvA parAv;ataH
jy;otiH ;anu
s;a naH
;indram bqh;antam
rocayat jan;uSA
ha y;atra
asi mahiSa
dev;AnAm ;asi
s;omaH saD;asTam
iva t;An
syasva y;ataH
purox;Azam rAranD;i
v;qSZaH p;iba
naH G;asaH
hUy;ase ;indra
h;i vAm
azv;inO ajIgar
dev;AnAm eti
svarv;it ;aBavaH
zr;eyAn Bavati
dev;eSu Ay;uSu
aB;i kSit;IH
svar;Ajam dvit;A
duroZ;e mitr;aH
sady;aH ;azvinA
aDvary;avaH vqSaBa
naH gahi
v;areZyam d;akSasya
n;akiH eSAm
p;AryAt ;indram
v;izvasya B;uvanasya
dev;An ;ut
;azvAH dev;AsaH
;agne tv;am
saKIy;an ;asUdayat
agn;O mitr;Aya
yat;asrucaH sur;ucam
;A vizanti
vay;am ;upa
naH Ut;aye
vAj;inaH r;AsaBasya
v;AjAH tv;am
samiDy;amAnaH praTam;A
purISy:AsaH agn;ayaH
rakSeTe ;akavEH
BUtam id;am
pAvak;azociSaH p;ari
asya t;Ani
y;at dUr;e
asr;iDA sudAnU
cikitv;An mah;aH
jAt;avedase s;a
salal;Ukam cakarTa
pUS;A v;qSaZA
m;adAya pradakSiZ;it
gqh;e sODanvan;eBiH
im;A h;i
j;anAH aB;iSwizavase
z;qVgAZi iva
priy;aH sut;asomaH
v;anA jajAna
boD;i Ap;iH
svarv;idam Akar;e
pr;a kqSw;IH
maGavan ranD;ayasva
vA tat;akSa
s;omam param;e
vIt;aye agn;iH
sasarpar;IH aBarat
;upa BUSema
yajY;am purup;ezasam
r;ajaH Atatanv;An
hrad;AH iva
t;am jAnat;IH
naH samIk;e
s;uDitaH ;A
n;avyasI kar
n;a n;ityam
t;at te
v;izve j;anAsaH
jAtavedaH prAtaHsAv;e
v;iprAya santya
agne ;amataye
t;ava dy;AvApqTiv;I
d;akSiZAvAn jy;otiH
indra s;aKiBiH
asm;An v;arUtrIH
dqX;am avadaH
D;ArABiH ajyase
try;avim r;erihAZA
pAti p;ATaH
;aDi tvac;i
m;Ahinam d;atram
m;ahi stotr;am
akran t;asya
y;e ;Asan
aB;i j;EtrIH
BavaTa sah;a
p;qtanAsu dUXy:aH
s;abanDU uB;e
dyumn;am citr;azravastamam
s;am iDImahi
dakSa kavikrato
Urv;aH iva
vqtrah;A g;opatiH
;indram ;atuSwavam
cAy;avaH ;agne
;indraH ca
mAt;arA rihAZ;e
mah;e dazasya
vav;arTa zun;am
n;ityaH sUno
dv;eSAMsi ;A
zqZota yay;O
sady;aH cit
haMs;AH iva
uz;ijaH jagmuH
syAtam gop;Ajihvasya
;iSaH As;atsi
y;at ;ahim
t;ava pr;a
suz;evaH t;asmE
bqhat;aH aDvar;e
ayAH Druv;am
pqT;upragAZam uz;antam
;ejat Druv;am
pr;aZItO tv;am
pazya bqhat;A
B;uvanAni asya
s;am IDire
Den;uH ;UDar
dev;azravAH dev;avAtaH
;astqZan barh;iH
mA DiS;aZA
;it agn;iH
carAmi vidv;An
v;ipraH eSAm
sar;aTam tur;eBiH
cakAn;aH s;am
dev;AH sapary;avaH
v;qSaparvA v;ihAyAH
amqtatv;am ;A
vAm;am eSi
;indraH mar;utvAn
qB;uBiH puruhUta
namasyata ;anAmi
pr;a BUtam
qt;ajAtasya saty;e
;A yajatra
uruz;aMsA namov;qDA
samAn;am y;onim
D;iyaH y;aH
nayanti svADy:aH
vim;ucya h;arI
vizvavAre ;uSaH
Asu ant;ar
B;UrivArAH UrDv;AH
naH mitrAvaruZA
eti mAy;ayA
vij;Ayate mAtar;izvA
;arcantaH indra
h;i ;asTAt
Badr;e sOmanas;e
naH vaDUy;uH
h;AH m;A
BAn;unA ;A
sukSatr;aH ajaniSwa
tr;I saD;asTA
;A sIda
suva v;asUni
rocan;Ani tr;ayaH
;ariZAt ;ekaH
k;im te
tqt;Iye s;avane
h;otar pr;a
qt;asya tvA
;asUta p;UrvaH
pUrvy;am v;acaH
;A gqh;eByaH
s;omAH prad;ivaH
v;asUni B;aga
mar;utvAn indra
y;asya pUrv;IH
sv:ar mah;at
et;am saj;oSAH
k;eteBiH iSir;eBiH
n;ihitam pad;am
iSit;aH ;indrajUtaH
h;otA stqZIm;ahi
nAnAraT;am vA
p;arasya t;apa
dev;IH p;qTak
v;AjasAtaye c;anohitaH
zikS;oH ;agne
indra vraj;aH
n;araH s;adA
sut;am ;A
;indram asm;in
boDi s;arvam
Ut;iBiH bahul;ABiH
puraMdar;aH vqtrah;A
zqZavAma v;acAMsi
gop;Ajihvasya tasT;uSaH
iDyase yajY;asya
D;anAnAm pr;a
kakuh;aH y;asya
kS;etram pur;u
n;a n;i
v;izve y;at
suvqkt;iBiH ;amartyam
r;odasI apAr;e
asanot ant;arikSam
m;aDvA madema
naH nAv;A
varanta itT;A
s;omAH sut;AH
y;atra panit;AraH
ut;a naH
r;AjAnam maGavan
G;oSAn ;uttarA
avasy;uH ahve
carSaZIn;Am dev;am
c;anohitaH agn;iH
;ut u
n;AmAni te
;ajAyata amitrAy;uDaH
aDvar;eSu namasyata
Gqt;anirZik sv:AhutaH
brahmay;ujA yunajmi
kuzikAH cet;ayaDvam
asmE manuSy:e
tv;am dUt;aH
ur;O vA
mAy;inAm aminAt
papraTAn;AH h;iraZyapAZiH
kave juSasva
p;arijmanaH agn;eH
;asi aB;i
tvASwr;am Urj;ayantIH
patatr;i v;iSuZam
manuSy:e n;i
zUS;am ukS;A
ih;a t;am
am;qtasya z;ikSAH
v;asu r;atnA
sahasAvan tv;am
v;izvam Ay;at
naH AstAm
nqc;akSAH aB;i
eti hav;iH
s;u pr;aBqtim
juSasva yaviSWya
havAmahe s;a
ca v;izvAH
agne Datte
caraZIy;amAnA cakr;am
y;at mAt;QH
vizv;acarSaZim r;aTam
tirante ;AyuH
m;eDiraH pUt;adakSaH
st;omeBiH vAvqD;e
aDayat p;IpyAnAH
satrAs;Aham v;areZyam
v;AjavAn matsva
jaritr;e r;akSa
s;attA svaD;ayA
sv;e d;ame
jaritar m;A
t;at ;ahar
pqTiv;I biBarti
cak;Ara g;arBam
n;a D;IrAH
s;u gqBAya
s;Ayakasya cikite
m;aDu sv;Adma
z;aye zay;Asu
jAt;avedAH j;anmaY-janman
naH sur;ADasaH
aB;i y;aH
div;aH yahv;IBiH
pAtam ;A
ukS;aZaH ajury;AH
v;asuBiH yajY;am
mahayAmasi ;indrasya
ut;a tv;am
;qtAvaH t;uByam
div;aH savitar
asi pr;a-pra
sapary;Ami pr;ayasA
;avase johavIti
ca dev;IH
D;ArAH m;aDunaH
paprO r;odasI
vijAn;an Ar;e
pr;a sapt;ahotA
ava D;iyam
;ojaH n;a
s;ADadiSwim ap;asAm
madema sah;a
;amandan mah;An
agne uS;asam
h;iraZyavarZAm pqTup;AjasaH
;indra tv;am
t;at ;it
vaDUy;uH iva
y;oge van;uSaH
v;asvaH am;qtasya
t;A v;izvA
pur;A h;antoH
z;arma Badr;am
B;argaH dev;asya
anUc;aH p;arAcaH
suv;Acam BAg;am
ahih;atye Avat
juSAZ;aH indra
veD;AH t;asya
ugr;am vizv;avyacasam
y;e tvA
s;ekam qYj;an
n;a stot;Aram
zuSm;iZaH c;akriH
B;ikSamAZaH qt;asya
qDyAH ;A
div;aH jAtavedaH
viv;asvataH s;adane
v;eviSat s;a
manan;A vacy;amAnAH
nunud;e v;ivAcaH
avat;am matIn;Am
duroZ;e r;aTaH
y;atAnAH zukr;A
v;idAnAH qB;uH
b;iBratI n;a
s;Uryasya v;iBaktA
t;at vaH
;A vahatam
papiv;AMsam sut;asya
kavizast;aH bqhat;A
suk;qtaH sukqty;ayA
d;akSasya pit;aram
te mahim;Anam
te ;A
garB;iZISu div;e-dive
v;acase somy;Aya
jihAte uB;e
;A niS;adya
apsuS;adam svarv;idam
Aj;AnIH uS;asaH
dev;EH ;avaH
saD;asTAni mah;ayamAnaH
pipeSa mAy;ABiH
s;aKye pit;arA
vipany;ayA D;AH
asy;a s;uSutasya
sv;AhA s;ektA
gr;AmaH iSit;aH
rikTAH ;aDa
iva vqdD;am
v;ajram ahih;atye
vaH ;atra
sud;akSaH yukt;agrAvA
kSitIn;Am asi
y;AH ca
ket;uH yajY;asya
tv;otaH n;a
tv;Am et;A
;IxyAya pr;a
d;ame ;A
j;uSwam agn;O
div;aH n;a
;agre tir;aH
gman urukram;aH
;apiMzata y;ayA
jUt;im ;iyarmi
G;oSaH zqZve
n;Ama v;izvA
ut;a trimAt;A
juSasva ;agne
ant;arikSAt qjIS;I
s;ahase purumAy;aH
vizv;AmitrAH arAsata
puruD;apratIkaH m;ahi
;it ;atra
akAri UrDv;A
v;asUnAm ;indra
v;andamAnaH im;Am
r;asAziraH praTam;am
n;u sv;azvyam
agne ;antarAn
divy;am zAs;am
sar;aTam yAhi
;indraH asm;An
;Asan y;eBiH
n;a citr;am
v;arDamAnaH pun;anti
dev;AnAm ;avaH
rocan;e par;astAt
t;eByaH ;A
;avaH ;A
s;omam somapate
asm;e pr;a
gurasva ca
s;aKAyaH te
m;AnuSIH ;iSaH
ih;a t;ataH
D;IrAH agn;iH
zat;akratum arZav;am
;adaDAt B;ojanAya
kAro pr;ati
azv;inA daDikr;Am
n;Qn vay;am
vqkt;abarhiSaH yat;asrucaH
cit ;arujaH
asm;aByam pr;amatim
d;amyeBiH ;anIkEH
AdaB;uH s;a
dev;akqtam c;arantIH
;it u
zat;avalzaH v;i
manIS;A avasy;uH
jigAti y;A
jIhipaH naH
;A z;aMse
puruSwuta im;Ani
;A suv;Irye
anavady;AH samIc;IH
ut;a tryuD;A
Gqt;apratIkaH urviy;A
sud;akSam ;agne
ay;am sv;aDitiH
;A id;am
d;qhya yAmakoz;AH
;avindat jy;otiH
indra ;indra
dIDarat s;a
azyAma m;anmaBiH
tuv;izravastamaH aB;i
namaDvam B;avata
j;animAni v;eda
any;An mah;Ani
t;am huvema
B;Amam mar;utAm
agn;iH Gqt;avantam
tr;iH ;ahan
agne amqta
qt;ena nqp;ezasaH
veda mah;at
matsva n;qBiH
;indra s;omam
jAyante d;akSiZAH
dyotan;im vahati
d;IDitiH vizv;avArA
n;amasA duvasyan
dadAmahe zc;otanti
h;aryazvaprasUtAH s;am
Am;uSya s;omam
;annEH ;A
s;adanam B;Uri
mah;Anti v;qSZe
r;AjA vqtr;am
praj;AvAn ;A
apt;uram qt;asya
daDqS;am kave
div;i kS;ayam
mitr;aH s;inDUnAm
jAt;A miTun;A
barhiSW;Am gr;AvaBiH
kez;inA Gqt;asnU
ih;a mAdayasva
y;azasvatA samiDy;amAnaH
Asur;aH n;arAz;aMsaH
dy;OH y;at
mar;utaH z;arma
aB;i s;am
v;i barh;iH
aps;u ;A
;indram n;a
n;a baBr;iH
sapary;an pit;A
rocan;ena v;apUMSi
vqZe ;agan
UrDv;am kqZvantu
qtup;AH qt;AvA
aB;iBUtyojAH yaTAvaz;am
arv;AV nAnAraT;am
kuzik;asya sUn;uH
uS;asam arcayaH
naH zoca
pr;AcI aDvar;A
vIry:am t;at
uS;asaH st;omaH
suy;ugBiH ;azvEH
niSAd;ayantaH yaj;aTAya
banDup;qCA sajAty:am
havante im;A
jeSi z;atrUn
barh;iH sapt;a
san;im g;oH
s;am aDvar;e
;indraH ;A
iS;ayantIH sur;ADAH
v;ayaH zazamAn;eSu
veD;AH vidy;udraTaH
v;i rarAZ;aH
vanD;urA iva
n;a mAt;A
azret ;ayAmi
kSetras;ADasaH Adity;AH
m;anasA banD;utA
kSit;IH agn;iH
ugr;aH D;AH
rih;anti z;avasaH
B;ava stot;qByaH
qgm;iyam rAt;im
dev;avAtAH t;ABiH
dqS;advatyAm m;AnuSe
;ajIjanan am;qtam
n;avagvEH aBijY;u
indra m;adam
tvA vqSaB;am
hit;aH m;ADyaMdine
vrat;e ganDarv;An
agne pqts;u
ca dev;am
;aCa bqhat;I
jIv;ase DAH
vqj;anena vqjin;An
gop;AH qt;asya
h;i k;AniSaH
;arjunA v;asAnA
sab;ADaH s;am
v;asUn rudr;An
mitr;Av;aruZA B;agam
div;aH rocanasT;Am
vqSaB;aH didIhi
mAy;inAm vizvaminva
tr;IZi ;AyUMSi
n;a mAt;araH
;ekaH vqtr;A
vqkt;abarhiSaH n;araH
Ga ;it
eti j;AgqviH
vEzvAnar;Aya pqTup;Ajase
asm;An v;anasp;atiH
vocAma vid;uH
v;i rocate
nqZ;Am u
vrat;am carasi
naH n;i
pur;ohitaH aDvar;asya
t;qZA d;ahan
As;atsi pUrv;IH
B;Uri v;arpaH
m;eDAH j;areTAm
juSasva g;iram
n;aram g;iraH
n;avyasI asm;ABiH
mandr;am h;otAram
vahAtaH ;indram
h;i pipriy;e
Gqt;am me
kS;ayam bqh;antam
t;UrZim t;aviSIBiH
;Aryam v;arZam
vAj;inA hAsayanti
tripAjasy;aH vqSaB;aH
jant;uBiH tanvAn;aH
z;acyA puruSwuta
caSwe mitr;Aya
prasav;e yAmaH
devay;antaH dakSiZAv;Aw
;A kqDi
;indrAgnI taviS;AZi
m;artyAsaH asrem;AZam
Avan v;AZIH
hinvanti akt;uBiH
Irire ;eka-ekaH
vivyAca s;avanA
staBUy;amAnam vah;ataH
dev;AH akqZvan
raT;IH qt;asya
;aCa sudyumn;Am
g;arBam ;adriH
s;omam indra
m;A nid;e
DAH ;indra
st;omam rodasI
tv;e daDir;e
s;a ;A
agn;iH m;AnuSISu
v;anaspate zat;avalzaH
s;ADan ;A
sapt;a v;AZIH
;ixAyAH tvA
pr;ati me
sam;Asate s;amidDam
uS;asam gAt;um
s;am ;iSaH
aj;aram y;uvAnam
qt;ajAtAH ay;AsaH
prad;ivaH ;ekaH
s;aptim sasav;An
zqZavan yajY;iyAsaH
qt;AvA y;asya
t;ava D;AmAni
tuvijAta t;avyAn
manIS;iZaH samr;Ajam
dev;An agn;iH
kuzik;eBiH yug;e-yuge
asTAt saty;aH
p;Ati n;ABA
naH t;ujam
p;iba v;arDasva
napAtA vid;aTasya
citr;am ;anIkam
pqSW;am B;andamAnaH
Gqt;avantam asTAt
sapt;ahotA sanak;At
vanate maG;Ani
niy;udBiH ca
kad;A ca
g;avAm aBavat
vqtrah;A s;a
n;a niy;utaH
pUrvy;aH kAr;uDAyAH
yakSat iSit;aH
yajY;ena yajY;am
brahmavAhaH kriy;ante
citr;A t;Am
dUx;aBaH viz;Am
;aDi n;ABA
aDvar;e devay;antaH
azv;inoH ;anivqtaH
;upa muhUrt;am
triD;Atu rAy;aH
dadqzre caS;AlavantaH
aruS;aH v;i
vrat;am upakSiy;antaH
ca dev;AH
juSasva meDira
ugra s;ahamAnaH
ucyate g;arBaH
apt;uram DAmas;Acam
palit;aH dUt;aH
yahv;IH ;avasAnAH
niSS;iDam g;oH
v;anasp;atIn asanot
;indra ih;a
p;atim ;indram
;it ;anu
agn;im suvit;Aya
sut;e s;ome
USuH ut;a
;A ;antAt
usr;iyAH j;anitA
v;izvAn y;at
v;Ajazravasam ih;a
avAsayat puruD;apratIkaH
v;Atasya paTy:ABiH
gir;A zacIvaH
pr;ayAMsi v;AhasA
Gqt;AcyA dev;An
avqZIta s;omam
sum;eke pr;a
deva v;izvAn
vyayasva Kadir;asya
;ati sr;iDaH
yajY;am adr;uhaH
putr;aH carati
B;UrIZi h;i
v;anAni t;uByam
amarm;aZaH m;anyamAnasya
c;ittiBiH ;apAMsi
B;arantI agn;aye
s;ahasaH sUn;uH
y;aH pqTiv;Im
saKy;am ziv;am
sud;aMsAH ;A
s;uSutasya yakSi
indra anax;utsu
mah;IH ;uparAH
vAj;iBiH vAj;ayan
iDm;ena agne
s;a veD;AH
rucAn;aH m;A
diz;amAnaH qt;ena
vand;aDyE s;a
kavikrato y;Ani
n;qtamam v;AjasAtO
tvA h;otAram
;apupot h;i
puruSwuta p;iba
y;atra r;aTasya
j;AyamAnA v;i
zr;avaH p;AYcajanyAsu
iSir;AH dUx;aBAsaH
c;ekitAnaH ;aboDi
gAt;um id;am
;avarDan ;arcantaH
s;ahamAnaH s;omaH
gahi barhiSW;Am
r;AjA sukSatr;aH
;atAriSuH Barat;AH
juSAZ;AH ;A
sapt;azIrSAZam agn;iH
g;iraH ;aprayuCan
pUt;am agn;aye
muca ;upa
;astam maGavan
qt;asya d;IDitim
tisr;aH u
qt;am rodasI
sut;asomaH miy;eDaH
y;avasam Den;avaH
indra c;aratA
n;i yaCa
hav;iH zamit;A
manoD;qtaH suk;qtaH
sahasaH v;i
tv;Am im;e
m;A p;Urve
dev;AH ur;O
;annA y;at
y;A g;uhyeSu
aB;i pr;ayAMsi
kS;ayam t;am
y;e t;aviSIm
aBavat damit;A
ap;Am aj;aH
tryuD;A puruD;a
s;uzrutaH B;Ut
rev;at agne
gqZat;aH maGoni
v;arSman pqTivy;AH
p;uraMDyA B;agasya
kart;A suk;qtoH
m;anoH n;apAtaH
v;arUtrIH zaraZ;EH
avqZot z;arDanItiH
qt;asya s;A
n;IlapqSWaH atas;asya
qt;asya prajAn;an
;anAgAn naH
v;im n;a
rakSati ;aprayuCan
;ati sazc;ataH
h;otA v;aruZaH
d;aDAnAH sur;etasA
y;at ugr;aH
s;omAsaH prad;ivi
mAt;qtamAm ayAsam
havAmahe kuzik;AsaH
pr;a jAyante
vizv;avedasaH pr;a
t;iSWa h;arI
gardaB;am pur;aH
m;AnuSIZAm viz;Am
;agne tr;I
r;aTena n;i
cit ;upa
tanv:am cakre
vizv;ataH cit
B;uvaneSu dIDarat
;amartyaH juS;asva
vAm;IH ;iSaH
vAy;unA yuv;am
pr;a m;AtrABiH
rayiv;it rayIZ;Am
prIt;AH zazay;am
zazAsuH vid;aTA
ca kSay;aya
vay;am indra
savitar v;AryAZi
yakSi agne
v;iprAH ;indrAya
havyavAhana v;izvAn
ark;EH aboDi
m;adAya brahmak;qtA
pariz;ayAnam ;arZaH
daDire sapt;a
;AyuDam ;A
tasTatuH jAgar;Uke
;arTam y;atra
BAr;An ;ekaH
sUno sahasaH
s;u agne
pramqZ;an etu
j;enyA g;OH
samiT;e mah;InAm
;A ;aBajaH
n;a vAj;I
majm;anA div;aH
mar;utaH sumn;am
BAhi candr;araTA
prapr;uTya z;ipre
dev;IH ;A
te tanv:aH
ca tvA
n;ihitaH jAt;avedAH
d;asyoH sah;AvA
jaritr;e pr;a
eSAm avam;A
adyOt uS;asaH
h;i kSit;ayaH
y;AdamAnaH sut;e-sute
sIm ;it
kar sady;aH
samAn;ena kr;atunA
paYc;aBiH sapt;a
D;anAnAm ;indraH
pr;amagandasya v;edaH
manIS;A devay;AH
aps;u siMh;am
naH mar;utaH
y;at te
r;aTasya h;aryoH
biBarti s;aKAyaH
Ar;At mah;aH
carSaZIn;Am qt;asya
yajY;avAhase ;agne
vqtr;am pariD;im
naH suvit;Aya
;indra p;iba
cit n;u
v;izve ;indre
dAz;uSaH gqh;e
vIry:AZi ;indra
h;antave dyumn;eSu
qBum;An v;AjavAn
;aTa aBavaH
j;ohavImi Gqt;aprayAH
mandr;aH vid;aTAni
ca praZetar
t;Uyam ah;am
;azvA v;i
pqTivy;AH ;avindan
vidv;An jah;i
k;aH ih;a
veveti palit;aH
;amartyA v;i
indra s;ome
;azve iva
tv;ayA ih;a
t;umraH vqSaB;aH
cit ;atra
puruSwuta B;ava
matIn;Am mitr;aH
dev;AH ;aBUSan
t;ava zUra
ziv;Ani m;aDvA
citr;am asTAt
aDvar;eSu devA
;A ihi
;ekA tripAjasy;aH
Gqt;AcIm pradakSiZ;it
kav;im vizvav;idam
codAmi pIt;aye
usr;aH ;agre
n;avyam ;AyuH
p;arA yAhi
v;i me
praZet;A j;Uryatsu
s;a aDvar;Aya
B;andamAnaH sum;anmaBiH
;atyAya pUrv;IH
asy;a pAhi
s;amqte D;Ayase
jAtavedaH tv;Am
m;qDaH nudasva
qBum;antam v;Ajavantam
y;eSantI pr;ayastA
t;ava t;at
niv;artanam y;at
manyeTAm ;A
anapaty;Ani g;antoH
indra t;uByam
jav;ase yunajmi
h;aryazvam ;amandan
hav;iSaH juSasva
yemire j;anAH
v;i paZ;eH
vidv;An qt;asya
;animiSA aB;i
Gqt;ena juh;omi
;A daDe
;apUrvyam v;asvIBiH
z;iraH pr;a
sisrate purox;Azam
g;uhA s;antam
s;ADadiSwiBiH jIr;aH
te sapary;U
asm;e ;indra
;anDasaH sut;asya
DattAt y;at
Diy;A raT;IH
;indraH s;u
aBarat t;Uyam
indra mar;utaH
qB;uH y;eBiH
yanDi asm;e
;asuraH vipazc;itAm
;upa dy;avi
samp;AraZam v;asu
;A suvqkt;iBiH
ut;a zikSa
Ag;atya v;qSaBiH
kS;ayam p;ari
tv;iSImat suk;qtaH
;asreDantaH itana
vy:uSwiSu havate
z;aMse ut;a
im;e cit
yujy;amAnA yAh;i
dyumn;am daDiSva
nIyate kav;iH
tvA vahantu
agn;iH ap;asi
aganma vats;am
makS;U-makSu kqZuhi
s;u svasAraH
r;odasI vizvaminv;e
papraTe ;A
vA kS;ayaH
yajY;asya pUrvy;aH
vqtr;Aya h;antave
vim;ocanAt ;indra
am;qteSu j;AgqviH
;A y;onim
s;aKA ha
yat;asrucaH itT;A
svaD;ayA cit
m;anasA seduH
B;ojanAya ;indra
tanv:A vAvqDAn;aH
viBAt;Im pr;a
suniD;A n;ihitaH
tr;ayaH rAjanti
y;at vij;Ayate
Buvat t;at
;iyarmi v;Acam
indra sumat;iH
v;Acam y;An
n;a tvA
hinv;anti ;azvam
hotr;AZi m;anasA
purur;UpA v;apUMSi
v;eda ;A
qZvati s;a
divy;EH ;ajasraH
n;a y;Aman
vqZe sumat;im
pr;a rocan;A
ca mAy;AH
Adity;AH rudr;AH
c;anohitaH dUx;aBaH
pUrvy;Aya n;UtanAni
;ahA n;a
y;ajatrAn ;A
ut;a s;Uryam
;ut usr;iyAH
jarit;A t;UrZyarTaH
h;ariBiH ;adriBiH
Imahe zatakrato
indra s;avanam
qt;asya t;e
n;amoBiH vqSaB;am
vocam mah;Anti
ca s;attA
t;at savit;uH
;aCa p;arA
zagD;i v;Ajasya
dasm;aH Iyate
ay;am te
prAZ;aH jahAtu
ukTy:aH mah;e
div;e arca
carati d;akSiZAyAH
;A y;at
h;i tvA
n;Utanasya s;aKe
;ekaH ;acaran
;aTa aBavat
putr;aH agn;iH
may;UraromaBiH m;A
devA v;arDeTAm
r;arAZaH pr;a
agn;iH yajY;asya
r;aTena d;asrO
p;Avakazoce t;ava
id;am sadantu
d;uGAnAH v;i
jigAti sumnay;uH
;uSaH v;Ajena
pAvak;aH ;IxyaH
dev;An raTir;aH
cit tav;ase
te stok;AH
bqh;antaH h;arayaH
p;Ati yahv;aH
;ekam ;A
r;ejamAnaH mah;aH
;amandan ;indram
praB;USan mah;at
sIm aYj;anti
y;adi v;izaH
v;iprAsaH azvinA
;A n;iSattaH
Apay;AyAm s;arasvatyAm
iva tasTatuH
j;anmaY-janman n;ihitaH
;iSaH naH
y;aH jaj;Ana
ay;am s;omaH
mar;utvAn ut;a
p;ari s;antaH
gAt;um agn;im
;indraH s;avanam
viveza jAn;anti
vay;am ruhema
mitr;aH samr;AjaH
sIm acaSwa
gqh;eByaH ;A
s;am dUt;aH
raTir;aH yAsi
agne suv;Iryam
n;a r;AjA
indra pqTiv;Idy;AvA
;atiTim raGuSy;adam
varhi m;A
kuzik;eBiH ;indraH
havy;Ani vizvadevya
prAt;ar juSasva
s;atvaBiH y;aH
pUrv;IH m;ahi
trimAt;A vid;aTeSu
;indram itT;A
;qtAvarI rodasI
rayIZ;Am pr;a
z;uSZam pr;a
m;ahi ;A
p;arSat v;izvA
hav;iSA yajAsi
ulok;am u
d;asrO im;am
sut;e s;acA
ranDaya naH
Den;avaH yaTA
vahantu yad;A
indrAvaruZA mar;udBiH
pUrv;aTA ar;aZyoH
;indavaH g;irvaZaH
y;aH im;e
s;a any;asmin
s;aKe vaso
z;arDaH mar;utaH
s;omam iC;anti
pUSan AGqZe
agn;iH yaj;aTAya
n;a ;avAjinam
tanv:A mah;e
arv;AV ;indreZa
t;AnvaH rikT;am
maGavan boDi
sut;e-sute vAvqDe
r;AjA asi
;amIvAH suz;armaZaH
pit;araH padajY;AH
vakSi vid;uSaH
;agne div;aH
devadr;IcIm nayata
m;anasA yakSi
stuhi dEvavAt;am
div;e-dive ;A
saj;oSO indrAvaruZA
;aboDi v;ipraH
v;i dAz;uSe
z;atrUn ;ahA
vIry:AZi tv;am
raBante pr;a
zakra h;astAt
zasy;amAnA ;indra
manIS;Am yuv;oH
;ahrayam v;Ajam
vAy;uH v;asuBiH
vavqmahe dev;am
p;iba s;omam
sAnas;i dyumn;am
up;asTe y;at
r;odasI uB;e
yajY;EH saraZy;uBiH
sug;aH pitum;An
dev;An deva
pr;a ur;oH
juSasva st;omam
;ojaH m;ADyaMdine
sady;aH ha
apibaH jAt;aH
;A ;agAt
asya r;odasI
asya v;asunA
;avasTAH yajY;aH
z;azvate vIry:Aya
barh;iSi ;A
UrDv;A zoc;IMSi
g;omataH ;Ize
purox;Azam ca
gqh;e te
v;qSZe mar;utvate
aGny;O z;Unam
d;azagvEH s;Uryam
;aDAyi agn;iH
AVgUS;aH vAm
vqj;aDyE s;aKAyaH
div;aH sub;anDuH
te pr;a
dIrG;am ;AyuH
zr;avAMsi Dehi
daDe d;akSasya
par;astAt ;aDa
namasy:aH ukT;EH
z;azvac-Cazvat Ut;iBiH
v;anitA maG;am
dUr;e param;A
;aMhaH kqD;i
cit h;i
;indrAgnI rocan;A
sasAna puruB;ojasam
Bara ;aMzam
jAt;aH ;A
m;ahi tv;iSImat
asmE purox;Azam
;adaDAH m;artyAya
p;arivItaH ;A
u mar;utvAn
pratikAm;am y;aTA
tv;aSwA ;avase
vah;ataH vahanti
vim;Anam agn;iH
b;iBratI g;OH
;arAtIH t;apa
sadantu t;at
BUripoS;iZaH vay;am
pUrvy;An indra
mAt;arA n;avyasI
piZak k;uZArum
Aditya z;ikSati
y;at agne
;apAH s;omam
vepayanti p;arvatAn
havante ;A
dUx;aBAsaH tr;iH
s;acA ;aTa
daMs;anAByaH bqh;at
mamattu somy;am
namov;qDam saj;oSAH
aB;i sIm
tan;USu naH
triMz;atam tr;In
net;A BavatAt
sv;arociH mah;at
pr;ayasvantaH ;upa
;agne sudIt;im
ant;ar t;ayoH
juSasva stok;AnAm
Im aD;astAt
dev;An v;izvAn
s;a jAt;eBiH
Ayemir;e raTy:aH
;avAjinam vAj;inA
sut;aH indra
n;amasA suvqkt;im
aguH iSit;AH
